Timestamp,sht_motor[0].measure.speed_rpm,Timestamp,sht_motor[0].measure.real_current,Timestamp,sht_controller[0].pid_speed.Output,Timestamp,ref_rpm_1,
10142,3,10142,43,10142,116.609,10142,7085,
40387,-3,40387,82,40387,117.612,40387,7085,
69099,-4,69099,8,69099,-43.3847,69099,7085,
98204,2,98204,-56,98204,-43.3787,98204,7085,
127643,4,127643,19,127643,71.6264,127643,7085,
160736,0,160736,35,160736,71.6278,160736,7085,
192617,-7,192617,102,192617,48.6276,192617,7085,
221539,3,221539,36,221539,-20.3649,221539,7085,
240900,0,240900,88,240900,116.659,240900,7085,
269786,-4,269786,132,269786,0,269786,7085,
298542,1,298542,41,298542,71.6437,298542,7085,
315681,-3,315681,112,315681,94.6434,315681,7085,
345951,-4,345951,-59,345951,-43.353,345951,7085,
378845,1,378845,-4,378845,-20.3462,378845,7085,
405750,3,405750,-8,405750,71.6585,405750,7085,
440125,-3,440125,-20,440125,117.66,440125,7085,
472991,-3,472991,14,472991,50.6953,472991,7085,
498402,0,498402,-31,498402,-42.3098,498402,7085,
526487,2,526487,13,526487,0,526487,7085,
561779,3,561779,9,561779,68.748,561779,7085,
594949,-3,594949,81,594949,142.631,594949,7085,
625750,-6,625750,30,625750,-43.3207,625750,7085,
658775,-66,658775,-123,658775,-66.3142,658775,7085,
684162,-1817,684162,-15084,684162,-30000,684162,7109,
712428,-3657,712428,-16182,712428,-30000,712428,7140,
744160,-5937,744160,-14437,744160,-30000,744160,7172,
782574,-7209,782574,0,782574,-1623.67,782574,7203,
812095,-7251,812095,-1120,812095,-1415.37,812095,7234,
845227,-7254,845227,-516,845227,-511.035,845227,7265,
875167,-7294,875167,-29,875167,212.661,875167,7295,
898484,-7342,898484,-154,898484,83.4194,898484,7328,
930930,-7357,930930,-158,930930,-370.223,930930,7359,
961580,-7400,961580,-92,961580,-353.674,961580,7389,
1002488,-7425,1002488,-361,1002488,-401.119,1002488,7421,
1026933,-7463,1026933,-238,1026933,-574.257,1026933,7452,
1066713,-7497,1066713,-84,1066713,-770.377,1066713,7483,
1095554,-7526,1095554,-360,1095554,-572.411,1095554,7515,
1129959,-7529,1129959,193,1129959,-573.407,1129959,7545,
1152002,-7570,1152002,-153,1152002,-310.482,1152002,7577,
1186471,-7616,1186471,-734,1186471,-372.558,1186471,7609,
1220511,-7636,1220511,-595,1220511,-574.479,1220511,7639,
1246910,-7658,1246910,-527,1246910,-485.596,1246910,7670,
1276621,-7690,1276621,183,1276621,-468.637,1276621,7701,
1301702,-7722,1301702,-221,1301702,-159.67,1301702,7732,
1331782,-7770,1331782,-97,1331782,144.293,1331782,7763,
1368646,-7796,1368646,233,1368646,36.262,1368646,7794,
1403482,-7822,1403482,-33,1403482,-508.785,1403482,7825,
1432401,-7843,1432401,-503,1432401,-489.823,1432401,7856,
1504903,-7911,1504903,-232,1504903,-330.818,1504903,7918,
1537053,-7962,1537053,-180,1537053,-100.94,1537053,7950,
1561722,-7984,1561722,-121,1561722,-406.975,1561722,7981,
1597207,-8024,1597207,5,1597207,-130.022,1597207,8013,
1619962,-8036,1619962,-1140,1619962,-65.0581,1619962,8044,
1655869,-8090,1655869,-278,1655869,-169.773,1655869,8075,
1685408,-8107,1685408,148,1685408,-612.54,1685408,8106,
1715353,-8132,1715353,-382,1715353,-203.176,1715353,8137,
1746158,-8171,1746158,-46,1746158,-321.887,1746158,8168,
1778685,-8195,1778685,-645,1778685,70.9131,1778685,8200,
1807292,-8229,1807292,406,1807292,-440.3,1807292,8232,
1839448,-8272,1839448,-1082,1839448,-549.792,1839448,8264,
1875387,-8298,1875387,136,1875387,-513.387,1875387,8294,
1902236,-8321,1902236,-59,1902236,-255.482,1902236,8326,
1940180,-8375,1940180,114,1940180,-114.859,1940180,8373,
1990840,-8389,1990840,-266,1990840,-113.783,1990840,8402,
2002097,-8437,2002097,-564,2002097,-486.569,2002097,8435,
2044081,-8470,2044081,294,2044081,-309.076,2044081,8465,
2080001,-8505,2080001,-244,2080001,-339.961,2080001,8495,
2122140,-8541,2122140,-546,2122140,-331.474,2122140,8541,
2153853,-8571,2153853,-603,2153853,-515.551,2153853,8572,
2179857,-8600,2179857,146,2179857,-467.555,2179857,8604,
2216926,-8637,2216926,-185,2216926,-346.844,2216926,8635,
2243363,-8660,2243363,-72,2243363,-250.811,2243363,8666,
2273379,-8704,2273379,-255,2273379,-300.925,2273379,8698,
2310153,-8731,2310153,-295,2310153,-382.799,2310153,8729,
2345179,-8764,2345179,-266,2345179,-396.029,2345179,8778,
2389395,-8798,2389395,-1221,2389395,-380.335,2389395,8807,
2415710,-8824,2415710,-457,2415710,-199.113,2415710,8839,
2448044,-8845,2448044,-93,2448044,-621.281,2448044,8869,
2478171,-8861,2478171,493,2478171,-1385.32,2478171,8902,
2510399,-8877,2510399,353,2510399,-1459.69,2510399,8933,
2542316,-7333,2542316,17271,2542316,30000,2542316,6016,
2576896,-6052,2576896,1402,2576896,2107.01,2576896,6047,
