Timestamp,ref_rpm_1,Timestamp,sht_controller[1].pid_speed.Output,Timestamp,sht_motor[1].measure.real_current,Timestamp,sht_motor[1].measure.speed_rpm,
13235,7000,13235,0,13235,-2,13235,0,
57417,7000,57417,0,57417,-63,57417,0,
135788,7000,135788,0,135788,2,135788,0,
164516,7000,164516,0,164516,3,164516,0,
192343,7000,192343,0,192343,-41,192343,0,
222423,7000,222423,0,222423,8,222423,0,
252821,7000,252821,0,252821,-51,252821,0,
291556,7000,291556,0,291556,8,291556,0,
333406,7000,333406,0,333406,8,333406,0,
369046,7000,369046,0,369046,-50,369046,0,
405699,7000,405699,0,405699,4,405699,0,
435484,7000,435484,0,435484,51,435484,0,
456912,7000,456912,0,456912,8,456912,0,
481741,7000,481741,0,481741,-8,481741,0,
522306,7000,522306,0,522306,31,522306,0,
549352,7000,549352,0,549352,3,549352,0,
590090,7000,590090,0,590090,-46,590090,0,
625544,7000,625544,0,625544,57,625544,0,
654021,7000,654021,0,654021,57,654021,0,
690065,7000,690065,0,690065,-46,690065,0,
720837,7000,720837,0,720837,-55,720837,0,
754482,7000,754482,0,754482,58,754482,0,
787747,7000,787747,0,787747,2,787747,0,
824053,7000,824053,0,824053,-47,824053,0,
851733,7000,851733,0,851733,3,851733,0,
881220,7000,881220,0,881220,2,881220,0,
912465,7000,912465,0,912465,-61,912465,0,
943680,7000,943680,0,943680,4,943680,0,
985366,7000,985366,0,985366,-50,985366,0,
1023862,7000,1023862,0,1023862,63,1023862,0,
1080248,7000,1080248,0,1080248,-49,1080248,0,
1109074,7000,1109074,0,1109074,8,1109074,0,
1148983,7000,1148983,0,1148983,-2,1148983,0,
1183683,7000,1183683,0,1183683,8,1183683,0,
1222045,7000,1222045,0,1222045,-1,1222045,0,
1254683,7000,1254683,0,1254683,59,1254683,0,
1290157,7000,1290157,0,1290157,8,1290157,0,
1324186,7000,1324186,0,1324186,-51,1324186,0,
1349069,7000,1349069,0,1349069,-45,1349069,0,
1388706,7000,1388706,0,1388706,20,1388706,0,
1415147,7000,1415147,0,1415147,-56,1415147,0,
1450385,7000,1450385,0,1450385,-2,1450385,0,
1469024,7000,1469024,0,1469024,2,1469024,0,
1486578,7000,1486578,0,1486578,57,1486578,0,
1525242,7000,1525242,0,1525242,8,1525242,0,
1553632,7000,1553632,0,1553632,3,1553632,0,
1592356,7000,1592356,0,1592356,-50,1592356,0,
1625509,7000,1625509,0,1625509,57,1625509,0,
1643537,7000,1643537,0,1643537,-51,1643537,0,
1677107,7000,1677107,0,1677107,13,1677107,0,
1698664,7000,1698664,0,1698664,-2,1698664,0,
1724786,7000,1724786,0,1724786,-2,1724786,0,
1746806,7000,1746806,0,1746806,-2,1746806,0,
1772426,7000,1772426,0,1772426,-40,1772426,0,
1794491,7000,1794491,0,1794491,62,1794491,0,
1814911,7000,1814911,0,1814911,-51,1814911,0,
1873167,7000,1873167,0,1873167,3,1873167,0,
1904509,7000,1904509,0,1904509,-45,1904509,0,
1939567,7000,1939567,0,1939567,3,1939567,0,
1977222,7000,1977222,0,1977222,-48,1977222,0,
2011704,7000,2011704,0,2011704,3,2011704,0,
2046463,7000,2046463,0,2046463,51,2046463,0,
2092602,7000,2092602,0,2092602,8,2092602,0,
2114611,7000,2114611,0,2114611,118,2114611,0,
2151907,7000,2151907,0,2151907,7,2151907,0,
2178805,7000,2178805,0,2178805,64,2178805,0,
2218442,7000,2218442,0,2218442,8,2218442,0,
2245482,7000,2245482,0,2245482,-1,2245482,0,
2314422,7000,2314422,0,2314422,8,2314422,0,
2357344,7000,2357344,0,2357344,63,2357344,0,
2390777,7000,2390777,0,2390777,3,2390777,0,
2420106,7000,2420106,0,2420106,-50,2420106,0,
2446645,7000,2446645,0,2446645,-52,2446645,0,
2482283,7000,2482283,0,2482283,-8,2482283,0,
2539980,7000,2539980,0,2539980,-51,2539980,0,
2566378,7000,2566378,0,2566378,-45,2566378,0,
2615394,7000,2615394,0,2615394,-50,2615394,0,
2650005,7000,2650005,0,2650005,-8,2650005,0,
2675205,7000,2675205,0,2675205,-50,2675205,0,
2710358,7000,2710358,0,2710358,73,2710358,0,
2731399,7000,2731399,0,2731399,3,2731399,0,
2765152,7000,2765152,0,2765152,-106,2765152,0,
2798026,7000,2798026,0,2798026,-45,2798026,0,
2828332,7000,2828332,0,2828332,-52,2828332,0,
2866350,7000,2866350,0,2866350,58,2866350,0,
2896873,7000,2896873,0,2896873,2,2896873,0,
2930775,7000,2930775,0,2930775,-2,2930775,0,
2962077,7000,2962077,0,2962077,-1,2962077,0,
2991816,7000,2991816,0,2991816,-51,2991816,0,
